mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_step_size	param_prop_sparsity	param_phi_lstsq	param_phi_cosamp	param_num_samples_constant	param_norm	param_max_cosamp_iter	param_lamb	param_function_budget	param_delta	param_cosamp_tol	param_compessible_constant	params	split0_test_score	mean_test_score	std_test_score	rank_test_score
17.42719602584839	0.0	2.4080276489257812e-05	0.0	0.01	0.25	0.2	0.4	100	2	5	0.01	10000.0	1e-05	0.5	1	{'step_size': 0.01, 'prop_sparsity': 0.25, 'phi_lstsq': 0.2, 'phi_cosamp': 0.4, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5, 'compessible_constant': 1}	6.100476630137941	6.100476630137941	0.0	7
16.05669069290161	0.0	3.337860107421875e-05	0.0	10.0	0.25	0.1	0.6	100	2	20	0.01	10000.0	0.001	0.5	2	{'step_size': 10.0, 'prop_sparsity': 0.25, 'phi_lstsq': 0.1, 'phi_cosamp': 0.6, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 2}	6.100476630137941	6.100476630137941	0.0	7
12.377152681350708	0.0	1.9550323486328125e-05	0.0	10.0	0.25	0.2	0.4	100	2	5	0.01	10000.0	0.001	0.5	1.1	{'step_size': 10.0, 'prop_sparsity': 0.25, 'phi_lstsq': 0.2, 'phi_cosamp': 0.4, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 1.1}	6.100476630137941	6.100476630137941	0.0	7
9.414392948150635	0.0	1.8835067749023438e-05	0.0	0.01	0.25	0.25	0.4	100	2	25	0.01	10000.0	0.001	0.5	1	{'step_size': 0.01, 'prop_sparsity': 0.25, 'phi_lstsq': 0.25, 'phi_cosamp': 0.4, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 1}	6.100476630137941	6.100476630137941	0.0	7
13.673337459564209	0.0	4.649162292480469e-05	0.0	0.001	0.25	0.25	0.8	100	2	10	0.01	10000.0	0.001	0.5	2	{'step_size': 0.001, 'prop_sparsity': 0.25, 'phi_lstsq': 0.25, 'phi_cosamp': 0.8, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 2}	6.100476630137941	6.100476630137941	0.0	7
19.506826162338257	0.0	5.054473876953125e-05	0.0	100.0	0.25	0.2	0.8	100	2	15	0.01	10000.0	0.001	0.5	1.25	{'step_size': 100.0, 'prop_sparsity': 0.25, 'phi_lstsq': 0.2, 'phi_cosamp': 0.8, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 1.25}	6.100476630137941	6.100476630137941	0.0	7
13.51041555404663	0.0	3.361701965332031e-05	0.0	0.1	0.25	0.2	0.6	100	2	10	0.01	10000.0	0.001	0.5	1	{'step_size': 0.1, 'prop_sparsity': 0.25, 'phi_lstsq': 0.2, 'phi_cosamp': 0.6, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 1}	6.100476630137941	6.100476630137941	0.0	7
10.797700643539429	0.0	4.076957702636719e-05	0.0	0.001	0.25	0.25	0.8	100	2	20	0.01	10000.0	0.001	0.5	1.1	{'step_size': 0.001, 'prop_sparsity': 0.25, 'phi_lstsq': 0.25, 'phi_cosamp': 0.8, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5, 'compessible_constant': 1.1}	6.100476630137941	6.100476630137941	0.0	7
18.41304588317871	0.0	5.3882598876953125e-05	0.0	0.1	0.25	0.1	0.4	100	2	25	0.01	10000.0	0.0001	0.5	2	{'step_size': 0.1, 'prop_sparsity': 0.25, 'phi_lstsq': 0.1, 'phi_cosamp': 0.4, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5, 'compessible_constant': 2}	6.100476630137941	6.100476630137941	0.0	7
13.925626039505005	0.0	3.910064697265625e-05	0.0	1.0	0.25	0.05	0.4	100	2	10	0.01	10000.0	0.0001	0.5	1.25	{'step_size': 1.0, 'prop_sparsity': 0.25, 'phi_lstsq': 0.05, 'phi_cosamp': 0.4, 'num_samples_constant': 100, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.01, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5, 'compessible_constant': 1.25}	6.100476630137941	6.100476630137941	0.0	7
